Exchange Name,Trade Volume 24H,Average Liquidity,Weekly Visit,Num of Markets,Num of Coins
FMFW.io,104877771,357,744,255,145,https://coinmarketcap.com/exchanges/bitcoin-com-exchange/
OKCoin Japan,32629314,395,23012,39,40,https://coinmarketcap.com/exchanges/okcoin-japan/
BXTEN,877663680,373,34660,82,64,https://coinmarketcap.com/exchanges/bxten/
NovaDAX,10170324,424,40035,434,422,https://coinmarketcap.com/exchanges/novadax/
ACE,7324675,528,9751,46,29,https://coinmarketcap.com/exchanges/ace/
Poloniex,566289947,268,67223,799,707,https://coinmarketcap.com/exchanges/poloniex/
Koinbay,81787546,473,7522,56,54,https://coinmarketcap.com/exchanges/koinbay/
Currency.com,328599702,354,5238,82,55,https://coinmarketcap.com/exchanges/currency-com/
EXMO,44408465,255,54213,180,77,https://coinmarketcap.com/exchanges/exmo/
Websea,614686462,415,6225,136,104,https://coinmarketcap.com/exchanges/websea/
CoinJar,4259813,427,10600,356,72,https://coinmarketcap.com/exchanges/coinjar/
Coins.ph,11082679,477,55792,120,114,https://coinmarketcap.com/exchanges/coins-pro/
SecondBTC,25582008,460,17432,29,30,https://coinmarketcap.com/exchanges/secondbtc/
Coinmate,1497617,458,16166,18,10,https://coinmarketcap.com/exchanges/coinmate/
Cube Exchange,9394403,480,31724,54,55,https://coinmarketcap.com/exchanges/cube-exchange/
BitDelta,55163905,396,76756,117,116,https://coinmarketcap.com/exchanges/bitdelta/
BitTrade,6238308,492,9356,36,37,https://coinmarketcap.com/exchanges/bittrade/
Nominex,80874079,452,4645,506,368,https://coinmarketcap.com/exchanges/nominex/
IndoEx,3738802673,518,5181,134,80,https://coinmarketcap.com/exchanges/indoex/
HitBTC,118400762,487,25762,826,454,https://coinmarketcap.com/exchanges/hitbtc/
Bitspay,492630185,402,3953,64,14,https://coinmarketcap.com/exchanges/bitspay/
Cryptology,42910250,347,11593,298,283,https://coinmarketcap.com/exchanges/cryptology/
WOO X,17008785,425,326,300,200,https://coinmarketcap.com/exchanges/woox/
Batonex,3672726416,315,6532,73,55,https://coinmarketcap.com/exchanges/wisebitcoin/
Reku,8974481,448,23188,40,41,https://coinmarketcap.com/exchanges/rekeningku-com/
Kuna,4143366,382,23692,43,21,https://coinmarketcap.com/exchanges/kuna/
Coinsbit,1210359764,317,12805,107,85,https://coinmarketcap.com/exchanges/coinsbit/
ICRYPEX,58857265,289,23105,215,155,https://coinmarketcap.com/exchanges/icrypex/
Bitexen,48090232,282,24860,57,47,https://coinmarketcap.com/exchanges/bitexen/
VALR,19953681,,28870,33,20,https://coinmarketcap.com/exchanges/valr/
FMCPAY,157063257,336,20023,65,43,https://coinmarketcap.com/exchanges/fmcpay-exchange/
BitStorage,20736373,455,290453,33,28,https://coinmarketcap.com/exchanges/bitstorage/
BTC-Alpha,359536853,327,150096,11,12,https://coinmarketcap.com/exchanges/btc-alpha/
Backpack Exchange,3384872,429,22737,46,47,https://coinmarketcap.com/exchanges/backpack-exchange/
LMAX Digital,261038916,352,3177,19,11,https://coinmarketcap.com/exchanges/lmax-digital/
GOPAX,5985224,312,22176,115,113,https://coinmarketcap.com/exchanges/gopax/
TruBit Pro Exchange,299255426,258,57457,241,155,https://coinmarketcap.com/exchanges/trubit-exchange/
Megabit,3912782,426,2799,74,54,https://coinmarketcap.com/exchanges/megabit/
Paymium,67360,417,3261,1,2,https://coinmarketcap.com/exchanges/paymium/
Fairdesk,27758608,369,6894,283,215,https://coinmarketcap.com/exchanges/fairdesk/
AlphaX,57118939,360,4901,591,442,https://coinmarketcap.com/exchanges/alphax/
ONUS Pro,13016417,356,37233,703,391,https://coinmarketcap.com/exchanges/onus-pro/
Qmall Exchange,102223919,328,7582,119,77,https://coinmarketcap.com/exchanges/qmall/
NonKYC,17934796,333,39173,113,66,https://coinmarketcap.com/exchanges/nonkyc/
Bullish,904440550,207,2713,50,38,https://coinmarketcap.com/exchanges/bullish/
CoinDCX,5588074,281,172069,902,513,https://coinmarketcap.com/exchanges/coindcx/
Buda,511713,328,32411,22,10,https://coinmarketcap.com/exchanges/buda/
LCX Exchange,4179289,289,2039,60,49,https://coinmarketcap.com/exchanges/lcx-exchange/
Niza Global,541780247,246,164,218,81,https://coinmarketcap.com/exchanges/niza-global/
NiceHash,225216,337,623945,5,6,https://coinmarketcap.com/exchanges/nicehash/
Tidex,392828680,271,2989,106,43,https://coinmarketcap.com/exchanges/tidex/
BITFLEX,36266022,305,7005,191,182,https://coinmarketcap.com/exchanges/bitflex/
EXMO.ME,28359542,265,68557,126,77,https://coinmarketcap.com/exchanges/exmo-me/
BTCBOX,876183,311,798,4,5,https://coinmarketcap.com/exchanges/btcbox/
TradeOgre,1194768,294,111244,66,62,https://coinmarketcap.com/exchanges/tradeogre/
Ripio,895605,384,17246,43,34,https://coinmarketcap.com/exchanges/ripio/
Altcoin Trader,1588143,281,52297,38,36,https://coinmarketcap.com/exchanges/altcoin-trader/
Flipster,51312,434,45741,269,250,https://coinmarketcap.com/exchanges/flipster/
Changelly PRO,83941846,402,960,96,40,https://coinmarketcap.com/exchanges/changelly-pro/
Quidax,38514965,278,12393,82,75,https://coinmarketcap.com/exchanges/quidax/
Gleec BTC,81781779,323,385,120,88,https://coinmarketcap.com/exchanges/gleec-btc/
Coinmetro,1580288,266,3947,171,73,https://coinmarketcap.com/exchanges/coinmetro/
CoinZoom,153693,314,9445,57,28,https://coinmarketcap.com/exchanges/coinzoom/
BIT,152785667,174,3543,156,114,https://coinmarketcap.com/exchanges/bit-com/
Bilaxy,92153859,303,486,67,69,https://coinmarketcap.com/exchanges/bilaxy/
Salavi Exchange,153120433,227,6580,43,44,https://coinmarketcap.com/exchanges/salavi-exchange/
ZKE,460091292,234,955,232,229,https://coinmarketcap.com/exchanges/zke/
digitalexchange.id,32257,387,1078,70,71,https://coinmarketcap.com/exchanges/digitalexchange-id/
BankCEX,4762272,240,161,90,73,https://coinmarketcap.com/exchanges/bankcex/
Emirex,549864,267,59,32,25,https://coinmarketcap.com/exchanges/emirex/
Globe Derivative Exchange,718025,,787,97,71,https://coinmarketcap.com/exchanges/globe-derivative-exchange/
Welcoin,17909112,316,56,39,38,https://coinmarketcap.com/exchanges/welcoin/
FutureX Pro,4354753608,199,209,16,17,https://coinmarketcap.com/exchanges/futurex/
CoinCorner,519213,,6185,2,3,https://coinmarketcap.com/exchanges/coincorner/
Bitcastle,92890503,219,2853,116,94,https://coinmarketcap.com/exchanges/bitcastle/
SuperEx,2082374970,211,3048,473,461,https://coinmarketcap.com/exchanges/superex/
SWFT Trade,287777608,243,108,12,11,https://coinmarketcap.com/exchanges/swft-octopus-trade/
BYDFi,169962370,497,255225,416,276,https://coinmarketcap.com/exchanges/bydfi/
CoinUp.io,3117721495,331,224004,210,176,https://coinmarketcap.com/exchanges/coinup-io/
Topcredit Int,16548675,366,84,139,139,https://coinmarketcap.com/exchanges/topcredit-int/
CoinCatch,107009675,419,3049,297,216,https://coinmarketcap.com/exchanges/coincatch/
ZebPay,249585,219,47769,173,166,https://coinmarketcap.com/exchanges/zebpay/
HKD.com,811313320,,36,25,25,https://coinmarketcap.com/exchanges/hkd/
VinDAX,9630044,302,3023,138,114,https://coinmarketcap.com/exchanges/vindax/
Mandala Exchange,74979760,370,1055,182,137,https://coinmarketcap.com/exchanges/mandala/
Bitop,9975577,234,545,37,38,https://coinmarketcap.com/exchanges/bitop/
XeggeX,1891231,216,184634,287,173,https://coinmarketcap.com/exchanges/xeggex/
Bitcoin.me,24940,,26141,26,22,https://coinmarketcap.com/exchanges/klever-exchange/
Coinbase International Exchange,6756963,,1017,89,86,https://coinmarketcap.com/exchanges/coinbase-international-exchange/
Bitcoiva,206613948,1,45219,305,156,https://coinmarketcap.com/exchanges/bitcoiva/
UEEx,319552546,311,892,162,137,https://coinmarketcap.com/exchanges/ueex/
Crypton Exchange,408064,238,509,6,6,https://coinmarketcap.com/exchanges/crypton-exchange/
YoBit,55096115,142,98907,236,196,https://coinmarketcap.com/exchanges/yobit/
Bitay,5206804,354,1745,110,74,https://coinmarketcap.com/exchanges/bitay/
Bitbns,1084441,123,15711,138,139,https://coinmarketcap.com/exchanges/bitbns/
50x,20429,188,81,105,24,https://coinmarketcap.com/exchanges/50x/
Remitano,2635584,174,106969,27,28,https://coinmarketcap.com/exchanges/remitano/
Cryptonex,44596034,116,53,26,18,https://coinmarketcap.com/exchanges/cryptonex/
Lykke Exchange,66204,250,2560,72,19,https://coinmarketcap.com/exchanges/lykke-exchange/
DIFX,2297116,209,319,2,3,https://coinmarketcap.com/exchanges/difx/
Cat.Ex,61868310,225,970,31,23,https://coinmarketcap.com/exchanges/catex/
Giottus,79770,158,17569,342,267,https://coinmarketcap.com/exchanges/giottus/
XEX,,264,,60,43,https://coinmarketcap.com/exchanges/xex/
4E,293824030,288,370,171,141,https://coinmarketcap.com/exchanges/4e/
BIT.TEAM,322223,129,4283,14,11,https://coinmarketcap.com/exchanges/bit-team/
TimeX,593546,145,34,4,5,https://coinmarketcap.com/exchanges/timex/
TNNS PROX,,141,,171,163,https://coinmarketcap.com/exchanges/tnns-prox/
LocalTrade,59020663,296,528,84,53,https://coinmarketcap.com/exchanges/localtrade/
Bitci TR,56532785,1,11788,136,124,https://coinmarketcap.com/exchanges/bitci/
BCEX Korea,16698356,151,133,25,20,https://coinmarketcap.com/exchanges/bcex-korea/
Bibox,281294609,154,483,387,314,https://coinmarketcap.com/exchanges/bibox/
SafeTrade,130421,97,2505,69,49,https://coinmarketcap.com/exchanges/safetrade/
M2,106429,179,26170,11,9,https://coinmarketcap.com/exchanges/m2/
Bitazza,25458773,1,5661,189,95,https://coinmarketcap.com/exchanges/bitazza/
Tokenize Xchange,100917100,117,5455,282,128,https://coinmarketcap.com/exchanges/tokenize-xchange/
Unocoin,25622,30,8641,113,84,https://coinmarketcap.com/exchanges/unocoin/
Okcoin,12633,412,4580,4,5,https://coinmarketcap.com/exchanges/okcoin/
Koinpark,20251720,1,3125,216,137,https://coinmarketcap.com/exchanges/koinpark/
Polyx,34482784,38,56,7,7,https://coinmarketcap.com/exchanges/polyx/
Dcoin,28824116,272,74,7,8,https://coinmarketcap.com/exchanges/dcoin/
ABCC,17351759,177,77,6,7,https://coinmarketcap.com/exchanges/abcc/
ChangeNOW,24111557,1,110108,468,468,https://coinmarketcap.com/exchanges/changenow/
ListaDao,,,,1,2,https://coinmarketcap.com/exchanges/listadao/
BIKA,1480076944,82,79,51,46,https://coinmarketcap.com/exchanges/bika/
Tokpie,4528030,53,364,80,70,https://coinmarketcap.com/exchanges/tokpie/
BiKing,3365675817,1,32,291,225,https://coinmarketcap.com/exchanges/biking/
StakeCube,24689,105,33732,119,64,https://coinmarketcap.com/exchanges/stakecube/
BitHash,33115479,97,227,16,17,https://coinmarketcap.com/exchanges/bithash/
Millionero,88929852,1,523,61,40,https://coinmarketcap.com/exchanges/millionero/
Digitra.com,54693,83,17311,59,32,https://coinmarketcap.com/exchanges/digitra-com/
Bitonic,161122,1,10298,1,2,https://coinmarketcap.com/exchanges/bitonic/
Bitlo,4271385,1,58212,214,170,https://coinmarketcap.com/exchanges/bitlo/
Finexbox,5663087,70,4239,215,204,https://coinmarketcap.com/exchanges/finexbox/
CoinLion,2684880,1,16490,46,19,https://coinmarketcap.com/exchanges/coinlion/
Bittylicious,49443,,2997,5,6,https://coinmarketcap.com/exchanges/bittylicious/
StormGain,2550878,,98750,56,45,https://coinmarketcap.com/exchanges/stormgain/
Mercatox,6423255,54,1976,274,184,https://coinmarketcap.com/exchanges/mercatox/
NexDAX,52200842,36,42,94,74,https://coinmarketcap.com/exchanges/nexdax/
Coinut,917,302,23,25,10,https://coinmarketcap.com/exchanges/coinut/
B2Z Exchange,296497853,1,44,718,224,https://coinmarketcap.com/exchanges/b2z-exchange/
Jubi,1431856,33,127,16,16,https://coinmarketcap.com/exchanges/jubi-exchange/
FOBLGATE,22165,1,269,12,14,https://coinmarketcap.com/exchanges/foblgate/
Blocktrade,1075,,4988,3,4,https://coinmarketcap.com/exchanges/blocktrade/
PowerTrade,15,205,139,10,11,https://coinmarketcap.com/exchanges/powertrade/
Avascriptions,1087,,67,2,3,https://coinmarketcap.com/exchanges/avascriptions/
Blockchain.com,18601,32,464840,83,42,https://coinmarketcap.com/exchanges/blockchain-com-exchange/
BlueBit,192491864,544,216179,271,205,https://coinmarketcap.com/exchanges/bluebit/
GroveX,390785134,401,35925,227,210,https://coinmarketcap.com/exchanges/grovex/
Coin8 Exchange,679993955,282,9374,79,67,https://coinmarketcap.com/exchanges/coin8-exchange/
DOEX,319132148,284,1631,172,109,https://coinmarketcap.com/exchanges/doex/
BTX Exchange,,150,,103,82,https://coinmarketcap.com/exchanges/btx-exchange/
Zedxion Exchange,1587167025,151,5958,373,322,https://coinmarketcap.com/exchanges/zedxion-exchange/
Namebase,626,1,4305,1,2,https://coinmarketcap.com/exchanges/namebase/
BTC Trade UA,5092,37,5439,9,8,https://coinmarketcap.com/exchanges/btc-trade-ua/
Chiliz,6816,5,4166,59,59,https://coinmarketcap.com/exchanges/chiliz/
Ecxx,69873421,150,26,28,26,https://coinmarketcap.com/exchanges/ecxx/
Graviex,1546,2,18465,163,104,https://coinmarketcap.com/exchanges/graviex/
FreiExchange,1326,1,1751,48,49,https://coinmarketcap.com/exchanges/freiexchange/
Zedcex Exchange,1419831512,6,96,158,102,https://coinmarketcap.com/exchanges/zedcex-exchange/
Koinim,169,13,141,6,7,https://coinmarketcap.com/exchanges/koinim/
RuDEX,16,7,26,28,14,https://coinmarketcap.com/exchanges/rudex/
WazirX,0,1,152141,543,293,https://coinmarketcap.com/exchanges/wazirx/
Flybit,0,1,516,14,15,https://coinmarketcap.com/exchanges/flybit/
